date,base_aggregate_ape,base_cohort_A_ape,base_cohort_B_ape,base_A1_ape,base_A2_ape,base_B1_ape,base_B2_ape,base_mean_ape,ols_aggregate_ape,ols_cohort_A_ape,ols_cohort_B_ape,ols_A1_ape,ols_A2_ape,ols_B1_ape,ols_B2_ape,ols_mean_ape,wls_raw_aggregate_ape,wls_raw_cohort_A_ape,wls_raw_cohort_B_ape,wls_raw_A1_ape,wls_raw_A2_ape,wls_raw_B1_ape,wls_raw_B2_ape,wls_raw_mean_ape,wls_scaled_aggregate_ape,wls_scaled_cohort_A_ape,wls_scaled_cohort_B_ape,wls_scaled_A1_ape,wls_scaled_A2_ape,wls_scaled_B1_ape,wls_scaled_B2_ape,wls_scaled_mean_ape,mint_raw_aggregate_ape,mint_raw_cohort_A_ape,mint_raw_cohort_B_ape,mint_raw_A1_ape,mint_raw_A2_ape,mint_raw_B1_ape,mint_raw_B2_ape,mint_raw_mean_ape,mint_scaled_aggregate_ape,mint_scaled_cohort_A_ape,mint_scaled_cohort_B_ape,mint_scaled_A1_ape,mint_scaled_A2_ape,mint_scaled_B1_ape,mint_scaled_B2_ape,mint_scaled_mean_ape
2024-01-01,0.7556636075598271,0.7658465410444263,0.7098874458490524,0.7460827372778471,0.8209838953446581,0.7004859719430454,0.726871771091681,0.7465459957300767,0.7504620301936286,0.7664550060115776,0.7182120295742932,0.753883006784109,0.9101213900323488,0.7087948047912043,0.7917877475696592,0.7713880021366887,0.744626635145679,0.7630854715984368,0.7074042011340207,0.7577719092740037,0.8238061470938991,0.7047024730519048,0.7285124987533879,0.7471299051501903,0.7446033644887443,0.7628009253765032,0.7079077953475733,0.7575067223635791,0.8233003725508925,0.7053486823968346,0.7279018569866195,0.7470528170729638,0.7453671639939504,0.7633341795618712,0.709136491867081,0.7581024332094171,0.8231199039300945,0.7067763305236806,0.727576166975764,0.7476303814374085,0.741747958162072,0.7593886899074233,0.7061752407272961,0.7543821399149909,0.8166009853282219,0.7038145291888962,0.7246192144476232,0.743818393953789
2024-01-02,0.4365293687064964,0.4703035265306879,0.31560373271888176,0.47112817525380873,0.47089143469764366,0.30903248842331127,0.3231080087594621,0.3995138192986131,0.43264312176050895,0.4741473904966699,0.32336990308276625,0.47276939517133715,0.49119249951600324,0.31621838997475304,0.3778341503524621,0.4125964071935001,0.42954125286856143,0.4735465125715705,0.31368337817462133,0.4737067739197355,0.4715641603089446,0.31228464779343384,0.32433578084717973,0.39980892949772107,0.4297236711290921,0.4738213233512004,0.3136225436746246,0.4740182555576292,0.4713853710179177,0.31228566126174345,0.32380392671985536,0.3998086789588661,0.42971716532389037,0.4734124956986763,0.31467527838949594,0.4736314933364297,0.4707036050791923,0.3135495848163715,0.32324829674107536,0.3998482741978759,0.4330773661825145,0.4791107666001448,0.3118797645022522,0.4791465707319579,0.47866788749970224,0.31017890542502397,0.3248331084944864,0.4024134813480117
2024-01-03,0.022966622093671205,0.020949042258852375,0.11600876633121479,0.02212860341449013,0.05980218082571488,0.12903493293599602,0.006341022034492716,0.05389016712777602,0.019692286246163804,0.019367283284204513,0.12229517431502103,0.01892444188177859,0.024277135854298956,0.13547658074007693,0.035886302115173394,0.053702743490959604,0.016453693762430516,0.020704483264724866,0.1140619450616624,0.017280092230967544,0.0586712474967977,0.1322689234416593,0.005291363473915439,0.052104535533165394,0.016490480732356753,0.020730727724524573,0.11426430494513497,0.017283403168404435,0.05895175954110504,0.1325611033100463,0.005677805979747238,0.05227994077161705,0.016772932782987984,0.02070348833182743,0.11521715751708761,0.01722733244612875,0.05924417765300126,0.13371481498640886,0.00604165726498942,0.05270308014034732,0.01627078670119726,0.020464210478941806,0.11276741605993053,0.016957987093386966,0.05933826291981669,0.1309856741158095,0.006659834818392653,0.05192059602678221
2024-01-04,0.029456924466203054,0.024962369278017708,0.1538795170251884,0.024540446633459112,0.08516205802880367,0.166788237320956,0.03169310436940163,0.07378323673171851,0.02613988228041888,0.023529119176655025,0.16036233323180618,0.02113657764802503,0.04896889183897699,0.17347875975602964,0.07515584889287913,0.07553877326068441,0.02280041673085057,0.02495197756062412,0.1518435465013999,0.019397577078418948,0.08401163602502953,0.170171699212584,0.03278082358194746,0.07227966809869349,0.022829710011950135,0.024993367777465247,0.1520638505146884,0.019418550296038204,0.08427011915851772,0.1704845287207028,0.03240006661939378,0.07235145615696519,0.02314081321540173,0.024937390111681123,0.15306438926066102,0.019330669382407094,0.08455336710813323,0.17169775103137563,0.032018977618562566,0.07267762253260321,0.022419113002585735,0.02493818203808094,0.1503945508877179,0.01931250336828432,0.08475573785407134,0.1687060495420219,0.0314400154867263,0.07170945031135549
2024-01-05,0.031634618715578204,0.08554741568807338,0.09250616964929399,0.08789922135974265,0.12977342355749336,0.11366514009634252,0.06764181867998417,0.0869525439637869,0.03504663269434457,0.08444041902190394,0.09948475099243269,0.08400105734956709,0.08903234219255134,0.12033465262277569,0.027137586155995798,0.07706820586136731,0.038580019530787456,0.08609894029614706,0.09084488666028244,0.08204330026912543,0.12848585882919855,0.11678723853800946,0.06670411688533578,0.08707776585841231,0.038559693264369574,0.08615607782659776,0.09107619719320853,0.08208473336177988,0.12870712895550152,0.11710732946761472,0.06701197346790974,0.08724330479099739,0.03817513821293084,0.08598552880102434,0.092043629746405,0.08188343742642655,0.12885792668439927,0.11828324931042748,0.06731069306952882,0.08750565760730604,0.03938446936090172,0.08650794624692891,0.08896338612779366,0.08240680078170953,0.129370458099123,0.11478430491901295,0.06784814913172137,0.08703793066674159
2024-01-06,0.09480613316031257,0.11633335239926294,0.06274599287194578,0.12853864054872266,0.039944985693928625,0.04232123269082672,0.22184390504763757,0.10093346320180527,0.09786221367050149,0.1152208978835536,0.05814960141089979,0.12498832461512616,0.0030417454658054994,0.03591624201968028,0.185233538688196,0.08863036625053755,0.10112988379639788,0.11669314265407267,0.06552478510775801,0.12314529641655599,0.038571362965540354,0.03837197846125135,0.22072785253669397,0.10059490027689574,0.1011443907493397,0.11681664130148335,0.06528994453822436,0.12325760143339315,0.038830392533907146,0.03803787765996498,0.22106037476844603,0.10063388899782266,0.1008246896927463,0.11682901081339986,0.06421054363524892,0.12320989495208154,0.03957015380992423,0.036688909527000324,0.2215217965700004,0.10040785700005737,0.10243380449424846,0.11788113336040835,0.06709392653004731,0.12428224998577297,0.04037730422431124,0.03998043284582796,0.22207228450569766,0.10201730513518771
2024-01-07,0.030182569191449998,0.013566911494099571,0.044317573015612205,0.01273841099687409,0.04451296245343896,0.051832451009604215,0.06344647568552288,0.037228193406657416,0.026192215417996958,0.015515043568990257,0.050085124732322184,0.016919818366623145,0.0004196121122717671,0.060141699148761656,0.012081379640854418,0.025907841855402913,0.02207171648078957,0.013835261180050884,0.04050289679286333,0.019130736725933125,0.043068869124888144,0.05705995044046284,0.06184747674067556,0.03678812964080907,0.02205431232151197,0.01368997877522796,0.04077165299208681,0.019004761714733212,0.04342162495359021,0.057445530616102775,0.062300888741084075,0.03695553573061957,0.02241309679565691,0.013571464823900233,0.04219851505802836,0.018965410319656636,0.044390804039173636,0.05922067305628902,0.06302698378677944,0.03768384969706918,0.020284255387824683,0.012284739265733997,0.03818522354367298,0.01762749229622462,0.04512742551530377,0.05467427239379978,0.06374476623249288,0.035989739233578955
2024-01-08,0.16698837372169098,0.1171645297365034,0.2693711134869178,0.11991482140370592,0.020319393929665433,0.2667660247786529,0.20405104557574066,0.1663679003761253,0.16283873143842403,0.1173198663728541,0.2753356497672966,0.1262144590452007,0.03674683760951252,0.27649626903248425,0.26773898079871467,0.18038439915206952,0.15785577480269378,0.11472911614101204,0.2644405103902709,0.12943715704576425,0.01850592300309825,0.2733414657273876,0.20618056828145293,0.1663557879130971,0.15781452116510425,0.11454170409672654,0.26476047776110256,0.1292462989647871,0.018662118596703327,0.2737996771303407,0.2055956789258733,0.166345782377234,0.15838839675119432,0.11454530711039174,0.2667437449678505,0.12936041723426822,0.019659634938771726,0.2762111381740443,0.20477626403754629,0.16709784331629532,0.15503814860168774,0.11233071232047313,0.260586803306556,0.1269648396233399,0.020234769150779444,0.269227943991621,0.20402744119328456,0.1640586654553917
2024-01-09,0.010031961014557583,0.018810305399780035,0.0636888981411662,0.021567345714052326,0.07912251519698757,0.04459724652189633,0.09147394643244969,0.047041745488698536,0.006184833490216592,0.017941407179808976,0.06849400929995926,0.01664542941805548,0.030693209428813473,0.0548779889804889,0.16230786949023335,0.05102067818393944,0.0017089844205188025,0.01989931422088786,0.057515245222252244,0.01403866350293107,0.07756531838500161,0.0522102137789278,0.09406670933966228,0.045286349838597376,0.0017264225618828263,0.01990823926346424,0.05760076973834437,0.01403494937014199,0.07769860687701922,0.052399740684489,0.09343566136275036,0.04525776997972743,0.0020716487744071,0.020351684879129767,0.059982844222050934,0.014369822941293967,0.07921034955939842,0.0553070753178517,0.09219871346787721,0.04621316273742987,0.0004420151718164962,0.0196655093481296,0.052372330281729614,0.014035408499628243,0.07506301290166846,0.046408276761094235,0.09346443135271015,0.04306442633096812
2024-01-10,0.04857578913142614,0.003993729412072943,0.1505644761515301,0.004449726137398296,0.012690053579149804,0.1911783538763133,0.11112496661923496,0.07465387070101794,0.04507987000793845,0.004830055360688102,0.1559792604664306,0.00016565220342037366,0.0600076789177009,0.2004432839723648,0.06506596441642436,0.07593882362070965,0.04113599015208045,0.0030728075303115376,0.1460106035797177,0.002065124949128833,0.014202668399054715,0.19742547385508785,0.10958955731946889,0.07335746082640714,0.041182099505946396,0.0030960156036343475,0.14611981230622004,0.002110527808488267,0.013980734911718832,0.19763458456809332,0.10997699409041847,0.07344296697064567,0.0414994881125836,0.0028427474216234446,0.14800951846454513,0.001925401480094456,0.01297483949940865,0.20004486191487206,0.11067521782116202,0.0739960106734699,0.04091287571041217,0.004077373930084362,0.14240488829413056,0.0029661648490563897,0.016350685684078308,0.19314189681775645,0.1098253998058975,0.07281132644163082
